,title,imdbid,year,gross_usa,running_time,budget
2288,Knowing (2009),448011,2009,87953397.4,121,55000000.0
2289,The Night Listener (2006),448075,2006,9168579.81,91,4680000.0
2290,Hancock (2008),448157,2008,250740901.4,92,165000000.0
2291,Two Weeks (2006),448166,2006,56143.62,102,2808000.0
2292,Puss in Boots (2011),448694,2011,156723529.2,90,136500000.0
2293,Eragon (2006),449010,2006,87785290.71,104,117000000.0
2294,Little Miss Sunshine (2006),449059,2006,70072584.66,101,9360000.0
2295,Pirates of the Caribbean: At World's End (2007),449088,2007,352739284.5,169,342000000.0
2296,RV (2006),449089,2006,83919449.25,99,58500000.0
2297,Babel (2006/I),449467,2006,40134319.29,143,29250000.0
2298,Passengers (2008),449487,2008,321680.7,93,27500000.0
2299,Blood Diamond (2006),450259,2006,67132161.72,143,117000000.0
2300,Unknown (2006),450340,2006,168944.49,85,4329000.0
2301,The Wicker Man (2006),450345,2006,27669478.59,102,46800000.0
2302,1408 (2007),450385,2007,82063615.92,104,28500000.0
2303,Cirque du Freak: The Vampire's Assistant (2009),450405,2009,15256466.5,109,44000000.0
2304,Horton Hears a Who! (2008),451079,2008,169982105.7,86,93500000.0
2305,The Elephant King (2006),451221,2006,24918.66,92,1755000.0
2306,Death Race (2008),452608,2008,39947635.2,105,49500000.0
2307,Gone Baby Gone (2007),452623,2007,23142248.52,114,21660000.0
2308,The Good German (2006),452624,2006,1531174.32,105,37440000.0
2309,Lady in the Water (2006),452637,2006,49473647.73,110,81900000.0
2310,Deja Vu (2006),453467,2006,74925180.72,126,87750000.0
2311,Amazing Grace (2006),454776,2006,24813778.86,118,33930000.0
2312,Flyboys (2006),454824,2006,15316037.1,140,70200000.0
2313,The Hills Have Eyes (2006),454841,2006,48881269.71,107,17550000.0
2314,Inside Man (2006),454848,2006,103560789.15,129,52650000.0
2315,The Pursuit of Happyness (2006),454921,2006,191372757.03,117,64350000.0
2316,Garfield: A Tail of Two Kitties (2006),455499,2006,33259293.99,78,70200000.0
2317,The Last King of Scotland (2006),455590,2006,20598857.37,121,7020000.0
2318,The Hunting Party (2007),455782,2007,1105650.66,101,28500000.0
2319,Then She Found Me (2007),455805,2007,4258245.42,100,3990000.0
2320,Australia (2008),455824,2008,54509402.2,165,143000000.0
2321,Black Irish (2007),455915,2007,7866.0,95,3420000.0
2322,The Equalizer (2014),455944,2014,101530738.0,132,55000000.0
2323,Goya's Ghosts (2006),455957,2006,1170052.65,113,58500000.0
2324,Mr. Magorium's Wonder Emporium (2007),457419,2007,36550172.7,93,45600000.0
2325,Perfect Stranger (2007),457433,2007,27342841.86,109,69306300.0
2326,Stormbreaker (2006),457495,2006,763455.42,93,46800000.0
2327,Scoop (2006),457513,2006,12315088.89,96,4680000.0
2328,The Holiday (2006),457939,2006,73973073.33,138,99450000.0
2329,Captain America: The First Avenger (2011),458339,2011,185487230.25,124,147000000.0
2330,The Devil Wears Prada (2006),458352,2006,145946338.2,109,40950000.0
2331,Sin City: A Dame to Kill For (2014),458481,2014,13757804.0,102,65000000.0
2332,X-Men Origins: Wolverine (2009),458525,2009,197871472.7,107,165000000.0
2333,Fast Food Nation (2006),460792,2006,1176480.63,116,14625000.0
2334,The Great Buck Howard (2008),460810,2008,823199.3,90,11000000.0
2335,Inland Empire (2006),460829,2006,1007785.35,180,11700000.0
2336,Enchanted (2007),461770,2007,145700278.68,107,96900000.0
2337,Black Snake Moan (2006),462200,2006,10994337.9,116,17550000.0
2338,Camille (2008/I),462219,2008,4233.9,94,6600000.0
2339,Daddy Day Camp (2007),462244,2007,15088204.38,93,6840000.0
2340,The Last Legion (2007),462396,2007,6748971.0,102,76380000.0
2341,Outlander (2008),462465,2008,176705.1,115,55000000.0
2342,Rescue Dawn (2006),462504,2006,6423794.91,120,11700000.0
2343,School for Scoundrels (2006),462519,2006,20834855.73,100,40950000.0
2344,"You, Me and Dupree (2006)",463034,2006,88484888.7,108,63180000.0
2345,Freedom Writers (2007),463998,2007,41730386.28,123,23940000.0
2346,Piranha 3D (2010),464154,2010,27003407.4,88,25920000.0
2347,American Dreamz (2006),465142,2006,8414441.1,107,19890000.0
2348,National Treasure: Book of Secrets (2007),465234,2007,250759091.1,124,148200000.0
2349,Michael Clayton (2007),465538,2007,55898625.48,119,28500000.0
2350,Notes on a Scandal (2006),465551,2006,20485143.9,92,17550000.0
2351,Push (2009),465580,2009,34992679.7,111,41800000.0
2352,Shoot 'Em Up (2007),465602,2007,14600138.46,86,44460000.0
2353,My Super Ex-Girlfriend (2006),465624,2006,26360445.15,95,35100000.0
2354,Margaret (2011/I),466893,2011,48819.75,150,14700000.0
2355,Underdog (2007),467110,2007,49887089.7,84,68400000.0
2356,Max Payne (2008),467197,2008,44758332.3,100,38500000.0
2357,The Other Boleyn Girl (2008),467200,2008,29496452.7,115,38500000.0
2358,Juno (2007),467406,2007,163584602.1,96,8550000.0
2359,The Dark Knight (2008),468569,2008,588344288.4,152,203500000.0
2360,The Astronaut Farmer (2006),469263,2006,12865834.8,104,15210000.0
2361,There Will Be Blood (2007),469494,2007,45853665.96,158,28500000.0
2362,Things We Lost in the Fire (2007),469623,2007,3747539.1,118,18240000.0
2363,World Trade Center (2006),469641,2006,82226304.81,129,76050000.0
2364,The Last Time (2006),469689,2006,732420.0,96,4680000.0
2365,Bug (2006),470705,2006,8197848.36,102,4680000.0
2366,Tower Heist (2011),471042,2011,81948898.5,104,78750000.0
2367,9 (2009/I),472033,2009,34917665.2,79,33000000.0
2368,Bart Got a Room (2008),472050,2008,59136.0,80,2200000.0
2369,Charlie Wilson's War (2007),472062,2007,75993648.3,102,85500000.0
2370,Death Defying Acts (2007),472071,2007,4059.54,97,22800000.0
2371,Local Color (2006),472126,2006,57207.15,107,3802500.0
2372,Penelope (2006),472160,2006,11713190.58,104,17550000.0
2373,Valley of the Heart's Delight (2006),472200,2006,138839.22,100,2925000.0
2374,Prince of Persia: The Sands of Time (2010),473075,2010,98020450.08,116,216000000.0
2375,A Guide to Recognizing Your Saints (2006),473488,2006,605836.53,100,4680000.0
2376,September Dawn (2007),473700,2007,1215872.7,111,12540000.0
2377,State of Play (2009),473705,2009,40719750.5,127,77000000.0
2378,The TV Set (2006),473709,2006,310281.66,88,2340000.0
2379,Pride (2007),475355,2007,8045664.0,104,17100000.0
2380,Mister Lonely (2007),475984,2007,189047.34,112,10830000.0
2381,The Brave One (2007),476964,2007,41944936.56,122,79800000.0
2382,Norbit (2007),477051,2007,109067911.98,102,68400000.0
2383,Premonition (2007/I),477071,2007,54551968.56,96,22800000.0
2384,Rocket Science (2007),477078,2007,815035.02,101,6840000.0
2385,Unstoppable (2010),477080,2010,88087977.36,98,108000000.0
2386,Extremely Loud & Incredibly Close (2011),477302,2011,33440275.05,129,42000000.0
2387,Night at the Museum (2006),477347,2006,293510023.56,108,128700000.0
2388,No Country for Old Men (2007),477348,2007,84683332.5,122,28500000.0
2389,21 (2008),478087,2008,89275301.5,123,38500000.0
2390,In the Valley of Elah (2007),478134,2007,7726624.74,121,26220000.0
2391,The Tree of Life (2011),478304,2011,13968484.95,139,33600000.0
2392,Ripple Effect (2007),479140,2007,15752.52,87,13680000.0
2393,Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008),479468,2008,1375257.4,120,2200000.0
2394,Seraphim Falls (2006),479537,2006,489406.32,115,21060000.0
2395,Season of the Witch (2011),479997,2011,26068589.4,95,42000000.0
2396,Dan in Real Life (2007),480242,2007,54312977.82,98,28500000.0
2397,I Am Legend (2007),480249,2007,292288031.4,101,171000000.0
2398,No Reservations (2007),481141,2007,49143096.06,104,31920000.0
2399,The Number 23 (2007),481369,2007,40120210.38,101,34200000.0
2400,The Croods (2013),481499,2013,189040109.25,98,136350000.0
2401,Youth Without Youth (2007),481797,2007,278612.58,124,17100000.0
2402,Miss Potter (2006),482546,2006,3516557.85,92,35100000.0
2403,The Prestige (2006),482571,2006,62115172.47,130,46800000.0
2404,Pride and Glory (2008),482572,2008,17314793.1,130,33000000.0
2405,Space Chimps (2008),482603,2008,33116564.8,81,40700000.0
2406,The Ultimate Gift (2006),482629,2006,4023319.95,114,3627000.0
2407,Doomsday (2008),483607,2008,12109647.0,105,33000000.0
2408,Man of the Year (2006),483726,2006,43673046.3,115,23400000.0
2409,Nobel Son (2007),483756,2007,615808.62,110,4560000.0
2410,The Good Night (2007),484111,2007,25582.74,93,17100000.0
2411,Love in the Time of Cholera (2007),484740,2007,5252673.12,139,51300000.0
2412,The Air I Breathe (2007),485851,2007,29383.5,95,11400000.0
2413,Mr. Nobody (2009),485947,2009,3960.0,141,51700000.0
2414,Red Tails (2012),485985,2012,51372668.31,125,59740000.0
2415,Fred Claus (2007),486583,2007,82087725.78,116,39900000.0
2416,Postal (2007),486640,2007,20525925.72,100,17100000.0
2417,Stardust (2007),486655,2007,44043829.32,127,79800000.0
2418,What Just Happened (2008),486674,2008,1200041.7,104,27500000.0
2419,Wild Hogs (2007),486946,2007,191831847.0,100,68400000.0
2420,Fracture (2007),488120,2007,44477120.52,113,11400000.0
2421,The Oxford Murders (2008),488604,2008,3967.7,104,11000000.0
2422,Jumper (2008),489099,2008,88189340.8,88,93500000.0
2423,The Nanny Diaries (2007),489237,2007,29560943.28,105,22800000.0
2424,Strange Wilderness (2008),489282,2008,7232810.2,87,3300000.0
2425,Venus (2006/I),489327,2006,3897895.95,95,3510000.0
2426,Because I Said So (2007),490084,2007,48648405.6,102,45600000.0
2427,Phat Girlz (2006),490196,2006,8261519.76,99,3510000.0
2428,Reign Over Me (2007),490204,2007,22414665.18,124,22800000.0
2429,Something Borrowed (2011),491152,2011,40998813.45,112,36750000.0
2430,Away from Her (2006),491747,2006,5348679.57,110,17550000.0
2431,The Haunting in Connecticut (2009),492044,2009,60928467.6,92,33000000.0
2432,Wanted (2008),493464,2008,147959406.1,110,82500000.0
2433,"Welcome Home, Roscoe Jenkins (2008)",494652,2008,46680168.7,114,38500000.0
2434,Silk (2007),494834,2007,1257505.5,107,22800000.0
2435,Ocean's Thirteen (2007),496806,2007,133556385.36,122,96900000.0
2436,Vicky Cristina Barcelona (2008),497465,2008,25538379.9,96,17050000.0
2437,Letters from Iwo Jima (2006),498380,2006,16094615.94,141,22230000.0
2438,We Own the Night (2007),498399,2007,32562024.06,117,23940000.0
2439,Avatar (2009),499549,2009,836558387.5,162,260700000.0
2440,Year of the Dog (2007/I),756729,2007,1755760.74,97,4560000.0
2441,Margot at the Wedding (2007),757361,2007,2233738.8,91,11400000.0
2442,Love & Other Drugs (2010),758752,2010,34956365.4,112,32400000.0
2443,Into the Wild (2007),758758,2007,20923965.84,148,17100000.0
2444,Body of Lies (2008),758774,2008,43334132.6,128,77000000.0
2445,Stuck (2007),758786,2007,76553.28,85,5700000.0
2446,We Are Marshall (2006),758794,2006,50948075.88,131,76050000.0
2447,The Water Horse (2007),760329,2007,46070611.38,112,45600000.0
2448,I Now Pronounce You Chuck & Larry (2007),762107,2007,136867893.84,115,96900000.0
2449,License to Wed (2007),762114,2007,49931792.52,91,39900000.0
2450,The Nativity Story (2006),762121,2006,44026902.27,101,40950000.0
2451,Planet 51 (2009),762125,2009,46413466.0,91,77000000.0
2452,Doogal (2006),763304,2006,8678263.23,78,23400000.0
2453,A Thousand Words (2012/I),763831,2012,19003630.81,91,41200000.0
2454,Home of the Brave (2006),763840,2006,60498.36,106,14040000.0
2455,Brothers (2009/I),765010,2009,31351816.1,105,28600000.0
2456,My Blueberry Nights (2007),765120,2007,988126.92,95,11400000.0
2457,American Gangster (2007),765429,2007,148387695.3,157,114000000.0
2458,Eastern Promises (2007),765443,2007,19227566.04,100,28500000.0
2459,Evening (2007),765447,2007,14241428.34,117,34200000.0
2460,Cover (2007),765460,2007,90557.04,98,4104000.0
2461,Meet Dave (2008),765476,2008,12983579.4,90,66000000.0
2462,The Last Mimzy (2007),768212,2007,24476993.58,90,31920000.0
2463,Fool's Gold (2008/I),770752,2008,77254145.1,112,77000000.0
2464,Man of Steel (2013),770828,2013,293955973.18,143,227250000.0
2465,Broken English (2007),772157,2007,1090887.66,93,2280000.0
2466,The Savages (2007),775529,2007,7550313.48,113,10260000.0
2467,Daddy's Little Girls (2007),778661,2007,35417842.62,100,11400000.0
2468,Canvas (2006),780492,2006,38054.25,101,1755000.0
2469,Drive (2011/I),780504,2011,36813723.45,100,15750000.0
2470,Everybody's Fine (2009),780511,2009,10129763.6,99,23100000.0
2471,Flawless (2007),780516,2007,1368266.76,108,22800000.0
2472,The Princess and the Frog (2009),780521,2009,114840988.9,97,115500000.0
2473,Imagine That (2009),780567,2009,17735655.3,107,60500000.0
2474,Mr. Brooks (2007),780571,2007,32546199.72,120,22800000.0
2475,The Wolfman (2010),780653,2010,66938054.4,103,162000000.0
2476,Atonement (2007),783233,2007,58056856.38,123,34200000.0
2477,The Education of Charlie Banks (2007),783515,2007,16583.58,100,5700000.0
2478,The Walker (2007),783608,2007,90855.72,108,11400000.0
2479,Hotel for Dogs (2009),785006,2009,80337906.0,100,38500000.0
2480,The Boxtrolls (2014),787474,2014,50837305.0,96,60000000.0
2481,The Incredible Burt Wonderstone (2013),790628,2013,22763259.81,100,30300000.0
2482,Dallas Buyers Club (2013),790636,2013,27571267.85,117,5050000.0
2483,The Messenger (2009/I),790712,2009,1220626.0,113,7150000.0
2484,Jack Reacher (2012),790724,2012,82472858.08,130,61800000.0
2485,R.I.P.D. (2013),790736,2013,33955043.55,96,131300000.0
2486,Georgia Rule (2007),791304,2007,21777502.08,113,22800000.0
2487,Case 39 (2009),795351,2009,14573324.7,109,29700000.0
2488,Mamma Mia! (2008),795421,2008,158543069.3,108,57200000.0
2489,Not Easily Broken (2009),795438,2009,11630016.2,99,5500000.0
2490,Talk to Me (2007),796368,2007,5167917.54,118,17100000.0
2491,You Kill Me (2007),796375,2007,2769478.38,93,4560000.0
2492,Feast of Love (2007),800027,2007,4002624.36,101,19380000.0
2493,The Incredible Hulk (2008),800080,2008,148287604.3,112,165000000.0
2494,Deception (2008/I),800240,2008,5057536.0,107,27500000.0
2495,Transsiberian (2008),800241,2008,2424005.1,111,16500000.0
2496,Appaloosa (2008),800308,2008,22232533.4,115,22000000.0
2497,Clash of the Titans (2010),800320,2010,176272079.04,106,135000000.0
2498,Thor (2011),800369,2011,190082155.2,115,157500000.0
2499,The Promotion (2008),803057,2008,449579.9,86,8800000.0
2500,Married Life (2007),804505,2007,1717977.72,91,13680000.0
2501,Rendition (2007),804522,2007,11099091.3,122,31350000.0
2502,Lars and the Real Girl (2007),805564,2007,6809087.76,106,13680000.0
2503,The Midnight Meat Train (2008),805570,2008,91697.1,98,16500000.0
2504,Angels & Demons (2009),808151,2009,146713430.6,138,165000000.0
2505,Easy Virtue (2008),808244,2008,2921956.4,97,15400000.0
2506,Funny Games (2007),808279,2007,1475889.6,111,17100000.0
2507,Joshua (2007),808331,2007,549884.7,106,9120000.0
2508,Largo Winch (2008),808339,2008,8383.1,108,26400000.0
2509,"New York, I Love You (2008)",808399,2008,1744444.9,103,16170000.0
2510,Persepolis (2007),808417,2007,5068161.84,96,8322000.0
2511,Tooth Fairy (2010/I),808510,2010,64821706.92,101,51840000.0
2512,Life During Wartime (2009),808526,2009,306703.1,98,4950000.0
2513,Jack and Jill (2011/I),810913,2011,77866064.85,91,82950000.0
2514,Speed Racer (2008),811080,2008,48340342.6,135,132000000.0
2515,The Ten (2007),811106,2007,877487.64,96,5985000.0
2516,Bangkok Dangerous (2008),814022,2008,16827946.3,99,49500000.0
2517,Seven Pounds (2008),814314,2008,76947006.4,123,60500000.0
2518,The Life Before Her Eyes (2007),815178,2007,345920.46,90,9120000.0
2519,The Uninvited (2009),815245,2009,31456499.8,87,27500000.0
2520,The Book Thief (2013),816442,2013,21703365.81,131,20200000.0
2521,Interstellar (2014),816692,2014,188020017.0,169,165000000.0
2522,World War Z (2013),816711,2013,204383308.11,116,191900000.0
2523,Valentine's Day (2010/I),817230,2010,119324506.32,125,56160000.0
2524,Never Forever (2007),817544,2007,15640.8,104,3990000.0
2525,The Power of Few (2013),817545,2013,25250.0,96,7575000.0
2526,Ghosts of Girlfriends Past (2009),821640,2009,60775028.6,100,33000000.0
2527,The Soloist (2009),821642,2009,34892173.8,117,66000000.0
2528,Marley & Me (2008),822832,2008,157469126.1,115,66000000.0
2529,Shooter (2007/I),822854,2007,53584083.48,124,69540000.0
2530,Changeling (2008),824747,2008,39313782.2,141,60500000.0
2531,The Last Station (2009),824758,2009,7278671.4,112,14300000.0
2532,The Bucket List (2007),825232,2007,106551812.28,97,51300000.0
2533,And When Did You Last See Your Father? (2007),829098,2007,1218567.66,92,9120000.0
2534,A Mighty Heart (2007),829459,2007,10461537.18,108,18240000.0
2535,Superbad (2007),829482,2007,138468077.64,113,22800000.0
2536,Quantum of Solace (2008),830515,2008,185205269.7,106,220000000.0
2537,Godzilla (2014),831387,2014,200676069.0,123,160000000.0
2538,Reservation Road (2007),831884,2007,139073.16,102,12540000.0
2539,The Spirit (2008),831887,2008,21786806.8,103,66000000.0
2540,"Definitely, Maybe (2008)",832266,2008,35171224.0,112,77000000.0
2541,L'heure d'été (2008),836700,2008,1785238.4,103,4840000.0
2542,The Darjeeling Limited (2007),838221,2007,13569095.1,91,19950000.0
2543,The Pink Panther 2 (2009),838232,2009,39515275.8,92,77000000.0
2544,After.Life (2009),838247,2009,119051.9,104,4950000.0
2545,Step Brothers (2008),838283,2008,110515672.3,98,71500000.0
2546,Semi-Pro (2008),839980,2008,36827667.8,91,44000000.0
2547,The Town (2010),840361,2010,99561162.96,125,39960000.0
2548,The Perfect Holiday (2007),841032,2007,6626570.34,96,22800000.0
2549,Walk Hard: The Dewey Cox Story (2007),841046,2007,20881552.14,96,39900000.0
2550,The Kids Are All Right (2010),842926,2010,22476274.2,106,4320000.0
2551,The Brothers Bloom (2008),844286,2008,3871589.7,114,22000000.0
2552,Hoodwinked Too! Hood vs. Evil (2011),844993,2011,10650967.95,86,31500000.0
2553,Kit Kittredge: An American Girl (2008),846308,2008,19423770.3,101,11000000.0
2554,The Stone Angel (2007),847897,2007,523449.24,116,3420000.0
2555,The Avengers (2012),848228,2012,642058647.3,143,226600000.0
2556,Battle in Seattle (2007),850253,2007,254832.18,99,9120000.0
2557,The House Bunny (2008),852713,2008,53061127.9,97,27500000.0
2558,The Visitor (2007/I),857191,2007,10741561.08,104,4560000.0
2559,Smart People (2008),858479,2008,10462417.9,95,16500000.0
2560,Blindness (2008),861689,2008,3686926.1,121,27500000.0
2561,Sunshine Cleaning (2008),862846,2008,13268813.8,91,8800000.0
2562,The Duchess (2008),864761,2008,15233875.8,110,14850000.0
2563,The Informers (2008),865554,2008,330000.0,98,19800000.0
2564,My Life in Ruins (2009),865559,2009,9531726.6,95,18700000.0
2565,Frost/Nixon (2008),870111,2008,20484234.1,122,27500000.0
2566,Antichrist (2009),870984,2009,436777.0,108,12100000.0
2567,Baby Mama (2008),871426,2008,66543633.2,99,33000000.0
2568,Red State (2011),873886,2011,1159916.1,88,4200000.0
2569,Nine (2009),875034,2009,21644661.5,118,88000000.0
2570,Lake City (2008),875705,2008,14043.7,93,4400000.0
2571,The Blind Side (2009),878804,2009,281555422.5,129,31900000.0
2572,Please Give (2010),878835,2010,4356259.92,90,3240000.0
2573,Eat Pray Love (2010),879870,2010,87019930.8,133,64800000.0
2574,Untraceable (2008),880578,2008,31556618.5,101,38500000.0
2575,All About Steve (2009),881891,2009,37249193.3,99,16500000.0
2576,The Golden Boys (2008),882969,2008,202563.9,97,8800000.0
2577,Snitch (2013/I),882977,2013,43359766.62,112,15150000.0
2578,"War, Inc. (2008)",884224,2008,638948.2,107,11000000.0
2579,The Mist (2007),884328,2007,29178250.98,126,20520000.0
2580,Legends of Oz: Dorothy's Return (2013),884726,2013,8543583.94,88,70700000.0
2581,Burn After Reading (2008),887883,2008,66390881.7,96,40700000.0
2582,The Hurt Locker (2008),887912,2008,18719592.1,131,16500000.0
2583,The Switch (2010/I),889573,2010,29979142.2,101,20520000.0
2584,Dream Boy (2008),889595,2008,6950.9,88,1320000.0
2585,Lions for Lambs (2007),891527,2007,17103253.56,92,39900000.0
2586,Street Fighter: The Legend of Chun-Li (2009),891592,2009,9616487.1,96,55000000.0
2587,Che: Part One (2008),892255,2008,1904831.5,134,38500000.0
2588,Letters to Juliet (2010),892318,2010,57275049.24,105,32400000.0
2589,How to Train Your Dragon (2010),892769,2010,234987729.48,98,178200000.0
2590,Monsters vs. Aliens (2009),892782,2009,218186678.6,94,192500000.0
2591,Shrek Forever After (2010),892791,2010,257835729.96,93,178200000.0
2592,The Whistleblower (2010),896872,2010,1210587.12,112,10800000.0
2593,The Road (2009/I),898367,2009,8914969.8,111,27500000.0
2594,Bride Wars (2009),901476,2009,64587061.0,89,33000000.0
2595,The Hobbit: An Unexpected Journey (2012),903624,2012,312093675.04,169,185400000.0
2596,Julia (2008),903627,2008,70930.2,144,6600000.0
2597,Pineapple Express (2008),910936,2008,96075518.0,111,29700000.0
2598,Armored (2009),913354,2009,17587763.6,88,22000000.0
2599,The Boy in the Striped Pyjamas (2008),914798,2008,9933639.1,94,13750000.0
2600,Doubt (2008/I),918927,2008,36791117.0,104,22000000.0
2601,Precious (2009/II),929632,2009,52135227.1,110,11000000.0
2602,Rabbit Hole (2010),935075,2010,2407382.64,91,5400000.0
2603,Taken (2008/I),936501,2008,159501087.9,93,27500000.0
2604,Tropic Thunder (2008),942385,2008,121566844.3,107,101200000.0
2605,Salt (2010),944835,2010,127776277.44,100,118800000.0
2606,Source Code (2011),945513,2011,57447838.35,93,33600000.0
2607,Black Swan (2010),947798,2010,115511052.24,108,14040000.0
2608,Lakeview Terrace (2008),947802,2008,43189856.6,110,22000000.0
2609,Green Zone (2010),947810,2010,37857952.8,115,108000000.0
2610,The Amazing Spider-Man (2012),948470,2012,269891582.89,136,236900000.0
2611,The Happening (2008),949731,2008,70957561.4,91,52800000.0
2612,Mad Money (2008),951216,2008,22735727.3,104,24200000.0
2613,The Killer Inside Me (2010),954947,2010,234659.16,109,14040000.0
2614,The Yellow Handkerchief (2008),954990,2008,348744.0,102,17050000.0
2615,Robin Hood (2010),955308,2010,113691308.4,140,216000000.0
2616,The Ten Commandments (2007),955411,2007,1086214.8,88,11400000.0
2617,Nights in Rodanthe (2008),956038,2008,46035724.9,97,22000000.0
2618,Revolutionary Road (2008),959337,2008,25202628.0,119,38500000.0
2619,Fireflies in the Garden (2008),961108,2008,77660.0,120,8800000.0
2620,The Young Victoria (2009),962736,2009,12101399.2,105,38500000.0
2621,The International (2009/I),963178,2009,27995579.7,118,55000000.0
2622,The Sorcerer's Apprentice (2010),963966,2010,68203070.28,109,162000000.0
2623,The Fighter (2010/I),964517,2010,101106369.72,116,27000000.0
2624,The Merry Gentleman (2008),967945,2008,380914.6,110,5500000.0
2625,The Conspirator (2010),968264,2010,12461260.32,122,27000000.0
2626,Hugo (2011),970179,2011,77557732.35,126,178500000.0
2627,City of Ember (2008),970411,2008,8660307.7,90,60500000.0
2628,The Day the Earth Stood Still (2008),970416,2008,87303675.8,104,88000000.0
2629,Little Fockers (2010),970866,2010,160313688.0,98,108000000.0
2630,Creation (2009/I),974014,2009,374672.1,108,11000000.0
2631,Elegy (2008/I),974554,2008,3939806.2,112,14300000.0
2632,The Velveteen Rabbit (2009),974662,2009,158086.5,97,6050000.0
2633,Hitchcock (2012),975645,2012,6188937.31,98,10300000.0
2634,Certifiably Jonathan (2007),976025,2007,8921.64,85,1368000.0
2635,The Reader (2008),976051,2008,37613847.7,124,35200000.0
2636,Old Dogs (2009/I),976238,2009,54441266.0,88,38500000.0
2637,"Surfer, Dude (2008)",976247,2008,40146.7,85,6600000.0
2638,Fair Game (2010/I),977855,2010,10290339.36,108,23760000.0
2639,Like Dandelion Dust (2009),981042,2009,388091.0,100,2750000.0
2640,The Lucky Ones (2008),981072,2008,293663.7,115,16500000.0
2641,Multiple Sarcasms (2010),984210,2010,32109.48,97,2700000.0
2642,Machete (2010),985694,2010,28721137.68,105,11340000.0
2643,Valkyrie (2008),985699,2008,91385616.3,121,82500000.0
2644,Surrogates (2009),986263,2009,42435549.2,89,88000000.0
2645,Sherlock Holmes (2009),988045,2009,229931546.9,128,99000000.0
2646,Traitor (2008),988047,2008,25883914.1,114,24200000.0
2647,Dear John (2010/I),989757,2010,86416029.36,108,27000000.0
2648,The Green Hornet (2011),990407,2011,103719044.1,119,126000000.0
2649,Hanna (2011),993842,2011,42272074.95,111,31500000.0
2650,The Wolf of Wall Street (2013),993846,2013,118069700.94,180,101000000.0
2651,Ghost Town (2008/I),995039,2008,14704386.4,102,22000000.0
2652,Straw Dogs (2011),999913,2011,10840663.05,110,26250000.0
2653,He's Just Not That Into You (2009),1001508,2009,103349018.3,129,44000000.0
2654,Megamind (2010),1001526,2010,160289121.24,95,140400000.0
2655,Perestroika (2009/I),1001540,2009,28670.4,116,2200000.0
2656,The Open Road (2009),1007018,2009,21687.6,90,11000000.0
2657,The Iron Lady (2011),1007029,2011,31518891.6,100,13650000.0
2658,Redbelt (2008),1012804,2008,2580535.1,99,7700000.0
2659,Knight and Day (2010),1013743,2010,82536877.8,109,126360000.0
2660,Milk (2008/I),1013753,2008,35025428.9,128,22000000.0
2661,Alice in Wonderland (2010/I),1014759,2010,360926398.8,108,216000000.0
2662,The Runaways (2010),1017451,2010,3859566.84,106,10800000.0
2663,Splice (2009),1017460,2009,18698950.6,104,28600000.0
2664,Yonkers Joe (2008),1018830,2008,11000000.0,101,5500000.0
2665,Selma (2014),1020072,2014,52066000.0,128,20000000.0
2666,Never Back Down (2008),1023111,2008,27336014.2,110,22000000.0
2667,The Way Back (2010/I),1023114,2010,2918007.72,133,32400000.0
2668,Argo (2012),1024648,2012,140106268.09,120,45835000.0
2669,Choke (2008),1024715,2008,3219221.5,92,3300000.0
2670,Wall Street: Money Never Sleeps (2010),1027718,2010,56672585.28,133,75600000.0
2671,Swing Vote (2008),1027862,2008,17918853.7,120,23100000.0
2672,Secretariat (2010),1028576,2010,64491071.4,123,37800000.0
2673,Henry Poole Is Here (2008),1029120,2008,2020166.5,99,16500000.0
2674,The Rocker (2008),1031969,2008,7050480.8,102,16500000.0
2675,RocknRolla (2008),1032755,2008,6270688.6,114,19800000.0
2676,The Descendants (2011),1033575,2011,86713368.0,115,21000000.0
2677,The Mighty Macs (2009),1034324,2009,2051447.2,99,7700000.0
2678,Righteous Kill (2008),1034331,2008,44089551.0,101,66000000.0
2679,The Book of Eli (2010),1037705,2010,102421863.72,118,86400000.0
2680,Mammoth (2009),1038043,2009,9383.0,125,11000000.0
2681,Harold (2008),1041753,2008,14551.9,90,3850000.0
2682,The Proposal (2009/I),1041829,2009,180290062.7,108,44000000.0
2683,Silver Linings Playbook (2012),1045658,2012,136055746.74,122,21630000.0
2684,My Best Friend's Girl (2008),1046163,2008,21141175.0,101,22000000.0
2685,Meet the Browns (2008),1047494,2008,46133331.2,100,27500000.0
2686,Parental Guidance (2012),1047540,2012,79585314.88,105,25750000.0
2687,Howl (2010),1049402,2010,666720.72,84,16200000.0
2688,Repo Men (2010),1053424,2010,14898421.8,111,34560000.0
2689,Flash of Genius (2008),1054588,2008,4886614.7,119,22000000.0
2690,The Imaginarium of Doctor Parnassus (2009),1054606,2009,8458567.7,123,33000000.0
2691,Invictus (2009),1057500,2009,41240500.4,134,66000000.0
2692,The Invention of Lying (2009),1058017,2009,20296376.1,100,20350000.0
2693,Boyhood (2014/I),1065073,2014,25352281.0,165,4000000.0
2694,A Christmas Carol (2009),1067106,2009,151641449.3,96,220000000.0
2695,Water for Elephants (2011),1067583,2011,61645202.85,120,39900000.0
2696,The Burning Plain (2008),1068641,2008,218130.0,107,22000000.0
